DATA_VALUE,YEAR,CATEGORY,INDICATOR_NAME,SIGN,INDICATOR_TYPE
7495306,2000,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
8040479,2001,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6426777,2002,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6744655,2003,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
7508686,2004,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6526814,2005,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6590688,2006,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
7019252,2007,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
7474907,2008,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6443720,2009,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
6967791,2010,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
5079765,2011,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4663610,2012,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4108090,2013,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4769187,2014,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
3994618,2015,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
4065307,2016,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
3863409,2017,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2183374,2018,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2799876,2019,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2159968,2020,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
2158817,2021,Commercial,Commercial_Bluefish_Landings_LBS,N/A,Socioeconomic
831,2000,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
841,2001,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
935,2002,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
851,2003,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
813,2004,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
800,2005,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
833,2006,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
774,2007,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
744,2008,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
743,2009,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
742,2010,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
767,2011,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
805,2012,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
749,2013,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
710,2014,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
640,2015,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
655,2016,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
697,2017,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
521,2018,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
529,2019,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
430,2020,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
434,2021,Commercial,N_Commercial_Vessels_Landing_Bluefish,N/A,Socioeconomic
0.59,2000,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.57,2001,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.60,2002,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.51,2003,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.47,2004,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.54,2005,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.53,2006,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.51,2007,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.59,2008,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.59,2009,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.63,2010,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.74,2011,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.83,2012,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.81,2013,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.79,2014,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.87,2015,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.84,2016,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.85,2017,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
1.05,2018,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.97,2019,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.92,2020,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
0.93,2021,Commercial,AVG_BLUEFISH_PRICE_REAL_DOLLARS/lb,N/A,Socioeconomic
3854651,2000,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3656286,2001,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3224062,2002,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2622165,2003,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2854979,2004,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2894987,2005,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2966643,2006,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3238927,2007,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
4193876,2008,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3249172,2009,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3373466,2010,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3461576,2011,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3551925,2012,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3273468,2013,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3242045,2014,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3197770,2015,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
3091528,2016,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2966258,2017,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2135603,2018,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2525411,2019,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
1847863,2020,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
1965456,2021,Commercial,TOTAL_ANNUAL_BLUEFISH_REVENUE_REAL_DOLLARS,N/A,Socioeconomic
2.64,2007,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
3.58,2008,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
2.03,2009,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
2.60,2010,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
3.49,2011,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
3.54,2012,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
3.36,2013,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
3.07,2014,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.80,2015,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.46,2016,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.75,2017,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
2.17,2018,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.96,2019,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.25,2020,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
1.99,2021,Commercial,AVG_ANNUAL_DIESEL_FUEL_PRICE_REAL_DOLLARS,N/A,Socioeconomic
